winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Romania,,2021-06-26,"National Sports Academy, Sofia",Serbia,bat,Serbia,Romania
England,,2021-06-26,"The Rose Bowl, Southampton",Sri Lanka,field,England,Sri Lanka
South Africa,,2021-06-27,"National Cricket Stadium, St George's, Grenada",West Indies,field,South Africa,West Indies
South Africa,,2021-06-29,"National Cricket Stadium, St George's, Grenada",West Indies,field,South Africa,West Indies
West Indies,,2021-07-01,"National Cricket Stadium, St George's, Grenada",South Africa,field,West Indies,South Africa
South Africa,,2021-07-03,"National Cricket Stadium, St George's, Grenada",South Africa,bat,South Africa,West Indies
Belgium,,2021-07-08,Marsa Sports Club,Malta,bat,Malta,Belgium
Malta,,2021-07-08,Marsa Sports Club,Belgium,bat,Belgium,Malta
Belgium,,2021-07-09,Marsa Sports Club,Belgium,field,Malta,Belgium
West Indies,,2021-07-09,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,West Indies,Australia
West Indies,,2021-07-10,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,West Indies,Australia
Belgium,,2021-07-10,Marsa Sports Club,Belgium,bat,Belgium,Malta
Malta,,2021-07-10,Marsa Sports Club,Belgium,bat,Belgium,Malta
West Indies,,2021-07-12,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,Australia,West Indies
Australia,,2021-07-14,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,Australia,West Indies
Pakistan,,2021-07-16,"Trent Bridge, Nottingham",England,field,Pakistan,England
West Indies,,2021-07-16,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,bat,West Indies,Australia
England,,2021-07-18,"Headingley, Leeds",Pakistan,field,England,Pakistan
South Africa,,2021-07-19,"The Village, Malahide, Dublin",Ireland,field,South Africa,Ireland
England,,2021-07-20,"Old Trafford, Manchester",Pakistan,bat,Pakistan,England
Bangladesh,,2021-07-22,Harare Sports Club,Zimbabwe,bat,Zimbabwe,Bangladesh
South Africa,,2021-07-22,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,South Africa,Ireland
Zimbabwe,,2021-07-23,Harare Sports Club,Zimbabwe,bat,Zimbabwe,Bangladesh
South Africa,,2021-07-24,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,South Africa,Ireland
India,,2021-07-25,"R Premadasa Stadium, Colombo",Sri Lanka,field,India,Sri Lanka
Bangladesh,,2021-07-25,Harare Sports Club,Zimbabwe,bat,Zimbabwe,Bangladesh
Sri Lanka,,2021-07-28,"R Premadasa Stadium, Colombo",Sri Lanka,field,India,Sri Lanka
Sri Lanka,,2021-07-29,"R Premadasa Stadium, Colombo",India,bat,India,Sri Lanka
Pakistan,,2021-07-31,"Providence Stadium, Guyana",West Indies,field,Pakistan,West Indies
Bangladesh,,2021-08-03,"Shere Bangla National Stadium, Mirpur",Australia,field,Bangladesh,Australia
Bangladesh,,2021-08-04,"Shere Bangla National Stadium, Mirpur",Australia,bat,Australia,Bangladesh
France,,2021-08-05,Bayer Uerdingen Cricket Ground,France,field,Norway,France
Germany,,2021-08-05,Bayer Uerdingen Cricket Ground,Germany,field,Norway,Germany
Germany,,2021-08-06,Bayer Uerdingen Cricket Ground,Germany,field,France,Germany
Bangladesh,,2021-08-06,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Australia
Norway,,2021-08-07,Bayer Uerdingen Cricket Ground,France,field,Norway,France
Germany,,2021-08-07,Bayer Uerdingen Cricket Ground,France,field,Germany,France
Australia,,2021-08-07,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Australia
Norway,,2021-08-08,Bayer Uerdingen Cricket Ground,Germany,field,Norway,Germany
Germany,,2021-08-08,Bayer Uerdingen Cricket Ground,Norway,bat,Norway,Germany
Bangladesh,,2021-08-09,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Australia
Sweden,,2021-08-14,"Svanholm Park, Brondby",Sweden,field,Denmark,Sweden
Denmark,,2021-08-15,"Svanholm Park, Brondby",Denmark,field,Sweden,Denmark
Rwanda,,2021-08-18,Gahanga International Cricket Stadium. Rwanda,Ghana,bat,Ghana,Rwanda
Ghana,,2021-08-20,Gahanga International Cricket Stadium. Rwanda,Ghana,bat,Ghana,Rwanda
Rwanda,,2021-08-20,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Rwanda,Ghana
Malta,,2021-08-20,Gucherre Cricket Ground,Malta,field,Gibraltar,Malta
Malta,,2021-08-21,Gucherre Cricket Ground,Gibraltar,field,Malta,Gibraltar
Finland,,2021-08-21,Kerava National Cricket Ground,Sweden,bat,Sweden,Finland
Ghana,,2021-08-21,Gahanga International Cricket Stadium. Rwanda,Rwanda,bat,Rwanda,Ghana
Finland,,2021-08-21,Kerava National Cricket Ground,Sweden,bat,Sweden,Finland
Sweden,,2021-08-22,Kerava National Cricket Ground,Sweden,field,Finland,Sweden
Portugal,,2021-08-22,Gucherre Cricket Ground,Gibraltar,field,Portugal,Gibraltar
Sweden,,2021-08-22,Kerava National Cricket Ground,Sweden,field,Finland,Sweden
Zimbabwe,,2021-08-27,"Castle Avenue, Dublin",Ireland,field,Zimbabwe,Ireland
Ireland,,2021-08-29,"Castle Avenue, Dublin",Zimbabwe,bat,Zimbabwe,Ireland
Bangladesh,,2021-09-01,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,New Zealand,Bangladesh
Ireland,,2021-09-01,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field,Ireland,Zimbabwe
Ireland,,2021-09-02,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field,Ireland,Zimbabwe
Hungary,,2021-09-02,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,field,Hungary,Czech Republic
Luxembourg,,2021-09-02,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,field,Luxembourg,Bulgaria
Romania,,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,Czech Republic
Malta,,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,bat,Bulgaria,Malta
Bangladesh,,2021-09-03,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,New Zealand
Romania,,2021-09-03,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,Hungary
Romania,,2021-09-04,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,Romania,Malta
Zimbabwe,,2021-09-04,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,bat,Zimbabwe,Ireland
Luxembourg,,2021-09-04,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field,Luxembourg,Hungary
