winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
New Zealand,,2021-09-05,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,New Zealand,Bangladesh
Hungary,,2021-09-05,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field,Malta,Hungary
Romania,,2021-09-05,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,Luxembourg
Bangladesh,,2021-09-08,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,New Zealand,Bangladesh
Germany,,2021-09-10,"Desert Springs Cricket Ground, Almeria",Germany,field,Spain,Germany
Kenya,,2021-09-10,Entebbe Cricket Oval,Kenya,bat,Kenya,Uganda
New Zealand,,2021-09-10,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,New Zealand,Bangladesh
South Africa,,2021-09-10,"R Premadasa Stadium, Colombo",South Africa,bat,South Africa,Sri Lanka
Spain,,2021-09-11,"Desert Springs Cricket Ground, Almeria",Germany,bat,Germany,Spain
Spain,,2021-09-11,"Desert Springs Cricket Ground, Almeria",Spain,field,Germany,Spain
Kenya,,2021-09-11,Entebbe Cricket Oval,Nigeria,bat,Nigeria,Kenya
Uganda,,2021-09-11,Entebbe Cricket Oval,Uganda,bat,Uganda,Nigeria
South Africa,,2021-09-12,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka,South Africa
Kenya,,2021-09-13,Entebbe Cricket Oval,Kenya,bat,Kenya,Nigeria
Uganda,,2021-09-13,Entebbe Cricket Oval,Nigeria,bat,Nigeria,Uganda
South Africa,,2021-09-14,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka,South Africa
Uganda,,2021-09-15,Entebbe Cricket Oval,Uganda,bat,Uganda,Nigeria
Scotland,,2021-09-15,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,Scotland,Zimbabwe
Nigeria,,2021-09-16,Entebbe Cricket Oval,Nigeria,bat,Nigeria,Kenya
Zimbabwe,,2021-09-17,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,bat,Zimbabwe,Scotland
Uganda,,2021-09-17,Entebbe Cricket Oval,Uganda,bat,Uganda,Kenya
Zimbabwe,,2021-09-19,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,Scotland,Zimbabwe
Cyprus,,2021-10-05,Happy Valley Ground,Cyprus,field,Estonia,Cyprus
Cyprus,,2021-10-05,Happy Valley Ground,Estonia,bat,Estonia,Cyprus
Isle of Man,,2021-10-06,Happy Valley Ground,Cyprus,bat,Cyprus,Isle of Man
Isle of Man,,2021-10-06,Happy Valley Ground,Estonia,bat,Estonia,Isle of Man
Isle of Man,,2021-10-07,Happy Valley Ground,Isle of Man,field,Cyprus,Isle of Man
Ireland,,2021-10-07,"ICC Academy, Dubai",United Arab Emirates,bat,United Arab Emirates,Ireland
Isle of Man,,2021-10-08,Happy Valley Ground,Isle of Man,field,Estonia,Isle of Man
Cyprus,,2021-10-08,Happy Valley Ground,Cyprus,bat,Cyprus,Estonia
United Arab Emirates,,2021-10-08,"ICC Academy, Dubai",Ireland,field,United Arab Emirates,Ireland
Scotland,,2021-10-08,"ICC Academy, Dubai",Papua New Guinea,bat,Papua New Guinea,Scotland
Namibia,,2021-10-09,"ICC Academy, Dubai",Namibia,field,Scotland,Namibia
Namibia,,2021-10-10,"ICC Academy, Dubai",Papua New Guinea,field,Namibia,Papua New Guinea
United Arab Emirates,,2021-10-10,"ICC Academy, Dubai",United Arab Emirates,field,Ireland,United Arab Emirates
Jersey,,2021-10-15,"Desert Springs Cricket Ground, Almeria",Germany,field,Jersey,Germany
Italy,,2021-10-15,"Desert Springs Cricket Ground, Almeria",Denmark,bat,Denmark,Italy
Jersey,,2021-10-16,"Desert Springs Cricket Ground, Almeria",Jersey,bat,Jersey,Italy
Germany,,2021-10-16,"Desert Springs Cricket Ground, Almeria",Denmark,bat,Denmark,Germany
Ghana,,2021-10-16,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Rwanda,Ghana
Ghana,,2021-10-16,Gahanga International Cricket Stadium. Rwanda,Seychelles,bat,Seychelles,Ghana
Uganda,,2021-10-16,Integrated Polytechnic Regional Centre,Malawi,bat,Malawi,Uganda
Jersey,,2021-10-17,"Desert Springs Cricket Ground, Almeria",Denmark,field,Jersey,Denmark
Seychelles,,2021-10-17,Gahanga International Cricket Stadium. Rwanda,Seychelles,field,Lesotho,Seychelles
Uganda,,2021-10-17,Integrated Polytechnic Regional Centre,Uganda,bat,Uganda,Rwanda
Germany,,2021-10-17,"Desert Springs Cricket Ground, Almeria",Italy,bat,Italy,Germany
Scotland,,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,field,Scotland,Bangladesh
Malawi,,2021-10-17,Integrated Polytechnic Regional Centre,Malawi,field,Swaziland,Malawi
Oman,,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Papua New Guinea,Oman
Sri Lanka,,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,field,Namibia,Sri Lanka
Ireland,,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,bat,Netherlands,Ireland
Uganda,,2021-10-19,Integrated Polytechnic Regional Centre,Swaziland,bat,Swaziland,Uganda
Uganda,,2021-10-19,Integrated Polytechnic Regional Centre,Lesotho,bat,Lesotho,Uganda
Ghana,,2021-10-19,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Malawi,Ghana
Jersey,,2021-10-19,"Desert Springs Cricket Ground, Almeria",Germany,bat,Germany,Jersey
Italy,,2021-10-19,"Desert Springs Cricket Ground, Almeria",Denmark,field,Italy,Denmark
Bangladesh,,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat,Bangladesh,Oman
Scotland,,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,bat,Scotland,Papua New Guinea
Sierra Leone,,2021-10-19,University of Lagos Cricket Oval,Sierra Leone,field,Nigeria,Sierra Leone
Namibia,,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Namibia,field,Netherlands,Namibia
Germany,,2021-10-20,"Desert Springs Cricket Ground, Almeria",Denmark,field,Germany,Denmark
Jersey,,2021-10-20,"Desert Springs Cricket Ground, Almeria",Jersey,field,Italy,Jersey
Sri Lanka,,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Ireland,field,Sri Lanka,Ireland
Ghana,,2021-10-20,Integrated Polytechnic Regional Centre,Ghana,field,Swaziland,Ghana
Malawi,,2021-10-20,Gahanga International Cricket Stadium. Rwanda,Malawi,bat,Malawi,Seychelles
Seychelles,,2021-10-20,Gahanga International Cricket Stadium. Rwanda,Swaziland,bat,Swaziland,Seychelles
Rwanda,,2021-10-21,Integrated Polytechnic Regional Centre,Rwanda,bat,Rwanda,Lesotho
Jersey,,2021-10-21,"Desert Springs Cricket Ground, Almeria",Denmark,bat,Denmark,Jersey
Malta,,2021-10-21,Marsa Sports Club,Malta,bat,Malta,Gibraltar
Nigeria,,2021-10-21,University of Lagos Cricket Oval,Sierra Leone,field,Nigeria,Sierra Leone
Scotland,,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Oman,Scotland
Italy,,2021-10-21,"Desert Springs Cricket Ground, Almeria",Germany,field,Italy,Germany
Bangladesh,,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat,Bangladesh,Papua New Guinea
Uganda,,2021-10-21,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Uganda,Ghana
Switzerland,,2021-10-22,Marsa Sports Club,Gibraltar,bat,Gibraltar,Switzerland
Rwanda,,2021-10-22,Gahanga International Cricket Stadium. Rwanda,Swaziland,bat,Swaziland,Rwanda
Malawi,,2021-10-22,Gahanga International Cricket Stadium. Rwanda,Malawi,bat,Malawi,Rwanda
Sri Lanka,,2021-10-22,Sharjah Cricket Stadium,Sri Lanka,field,Netherlands,Sri Lanka
Uganda,,2021-10-22,Integrated Polytechnic Regional Centre,Uganda,bat,Uganda,Seychelles
Namibia,,2021-10-22,Sharjah Cricket Stadium,Ireland,bat,Ireland,Namibia
Switzerland,,2021-10-22,Marsa Sports Club,Bulgaria,bat,Bulgaria,Switzerland
Saudi Arabia,,2021-10-23,"West End Park International Cricket Stadium, Doha",Maldives,bat,Maldives,Saudi Arabia
England,,2021-10-23,Dubai International Cricket Stadium,England,field,West Indies,England
Switzerland,,2021-10-23,Marsa Sports Club,Switzerland,bat,Switzerland,Malta
Australia,,2021-10-23,"Zayed Cricket Stadium, Abu Dhabi",Australia,field,South Africa,Australia
Nigeria,,2021-10-23,University of Lagos Cricket Oval,Sierra Leone,bat,Sierra Leone,Nigeria
Sri Lanka,,2021-10-24,Sharjah Cricket Stadium,Sri Lanka,field,Bangladesh,Sri Lanka
Pakistan,,2021-10-24,Dubai International Cricket Stadium,Pakistan,field,India,Pakistan
Qatar,,2021-10-24,"West End Park International Cricket Stadium, Doha",Maldives,field,Qatar,Maldives
Bulgaria,,2021-10-24,Marsa Sports Club,Gibraltar,bat,Gibraltar,Bulgaria
Nigeria,,2021-10-24,University of Lagos Cricket Oval,Nigeria,bat,Nigeria,Sierra Leone
Malta,,2021-10-24,Marsa Sports Club,Malta,bat,Malta,Switzerland
Kuwait,,2021-10-24,"West End Park International Cricket Stadium, Doha",Kuwait,field,Bahrain,Kuwait
Nigeria,,2021-10-26,University of Lagos Cricket Oval,Nigeria,bat,Nigeria,Sierra Leone
South Africa,,2021-10-26,Dubai International Cricket Stadium,South Africa,field,West Indies,South Africa
Pakistan,,2021-10-26,Sharjah Cricket Stadium,Pakistan,field,New Zealand,Pakistan
Namibia,,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Namibia,field,Scotland,Namibia
Bahrain,,2021-10-27,"West End Park International Cricket Stadium, Doha",Bahrain,field,Maldives,Bahrain
England,,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,bat,Bangladesh,England
Kuwait,,2021-10-28,"West End Park International Cricket Stadium, Doha",Kuwait,field,Maldives,Kuwait
Bahrain,,2021-10-28,"West End Park International Cricket Stadium, Doha",Saudi Arabia,field,Bahrain,Saudi Arabia
Australia,,2021-10-28,Dubai International Cricket Stadium,Australia,field,Sri Lanka,Australia
West Indies,,2021-10-29,Sharjah Cricket Stadium,Bangladesh,field,West Indies,Bangladesh
Qatar,,2021-10-29,"West End Park International Cricket Stadium, Doha",Kuwait,bat,Kuwait,Qatar
South Africa,,2021-10-30,Sharjah Cricket Stadium,South Africa,field,Sri Lanka,South Africa
England,,2021-10-30,Dubai International Cricket Stadium,England,field,Australia,England
New Zealand,,2021-10-31,Dubai International Cricket Stadium,New Zealand,field,India,New Zealand
England,,2021-11-01,Sharjah Cricket Stadium,Sri Lanka,field,England,Sri Lanka
South Africa,,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",South Africa,field,Bangladesh,South Africa
Tanzania,,2021-11-02,Gahanga International Cricket Stadium. Rwanda,Tanzania,bat,Tanzania,Mozambique
Pakistan,,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Pakistan,bat,Pakistan,Namibia
Botswana,,2021-11-02,Gahanga International Cricket Stadium. Rwanda,Botswana,bat,Botswana,Sierra Leone
New Zealand,,2021-11-03,Dubai International Cricket Stadium,Scotland,field,New Zealand,Scotland
Mozambique,,2021-11-03,Gahanga International Cricket Stadium. Rwanda,Cameroon,field,Mozambique,Cameroon
Tanzania,,2021-11-03,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,bat,Sierra Leone,Tanzania
Sri Lanka,,2021-11-04,"Zayed Cricket Stadium, Abu Dhabi",West Indies,field,Sri Lanka,West Indies
Australia,,2021-11-04,Dubai International Cricket Stadium,Australia,field,Bangladesh,Australia
India,,2021-11-05,Dubai International Cricket Stadium,India,field,Scotland,India
New Zealand,,2021-11-05,Sharjah Cricket Stadium,Namibia,field,New Zealand,Namibia
Botswana,,2021-11-05,Gahanga International Cricket Stadium. Rwanda,Cameroon,bat,Cameroon,Botswana
Sierra Leone,,2021-11-05,Gahanga International Cricket Stadium. Rwanda,Mozambique,bat,Mozambique,Sierra Leone
Botswana,,2021-11-06,Gahanga International Cricket Stadium. Rwanda,Botswana,bat,Botswana,Mozambique
South Africa,,2021-11-06,Sharjah Cricket Stadium,England,field,South Africa,England
Australia,,2021-11-06,"Zayed Cricket Stadium, Abu Dhabi",Australia,field,West Indies,Australia
Tanzania,,2021-11-06,Gahanga International Cricket Stadium. Rwanda,Tanzania,bat,Tanzania,Cameroon
Sierra Leone,,2021-11-07,Gahanga International Cricket Stadium. Rwanda,Cameroon,bat,Cameroon,Sierra Leone
Tanzania,,2021-11-07,Gahanga International Cricket Stadium. Rwanda,Tanzania,bat,Tanzania,Botswana
Pakistan,,2021-11-07,Sharjah Cricket Stadium,Pakistan,bat,Pakistan,Scotland
United States of America,,2021-11-07,"Coolidge Cricket Ground, Antigua",United States of America,field,Belize,United States of America
Belize,,2021-11-08,"Coolidge Cricket Ground, Antigua",Belize,bat,Belize,Panama
United States of America,,2021-11-08,"Sir Vivian Richards Stadium, North Sound, Antigua",United States of America,bat,United States of America,Bermuda
Canada,,2021-11-08,"Coolidge Cricket Ground, Antigua",Canada,bat,Canada,Belize
Bahamas,,2021-11-08,"Sir Vivian Richards Stadium, North Sound, Antigua",Bahamas,bat,Bahamas,Argentina
India,,2021-11-08,Dubai International Cricket Stadium,India,field,Namibia,India
Argentina,,2021-11-10,"Sir Vivian Richards Stadium, North Sound, Antigua",Argentina,bat,Argentina,Belize
Bermuda,,2021-11-10,"Coolidge Cricket Ground, Antigua",Bahamas,field,Bermuda,Bahamas
New Zealand,,2021-11-10,"Zayed Cricket Stadium, Abu Dhabi",New Zealand,field,England,New Zealand
Australia,,2021-11-11,Dubai International Cricket Stadium,Australia,field,Pakistan,Australia
United States of America,,2021-11-11,"Sir Vivian Richards Stadium, North Sound, Antigua",Argentina,bat,Argentina,United States of America
United States of America,,2021-11-13,"Coolidge Cricket Ground, Antigua",Bahamas,bat,Bahamas,United States of America
Panama,,2021-11-13,"Coolidge Cricket Ground, Antigua",Bahamas,field,Panama,Bahamas
Bermuda,,2021-11-13,"Sir Vivian Richards Stadium, North Sound, Antigua",Belize,bat,Belize,Bermuda
Canada,,2021-11-13,"Sir Vivian Richards Stadium, North Sound, Antigua",Argentina,bat,Argentina,Canada
Australia,,2021-11-14,Dubai International Cricket Stadium,Australia,field,New Zealand,Australia
Canada,,2021-11-14,"Coolidge Cricket Ground, Antigua",Canada,bat,Canada,Panama
India,,2021-11-17,"Sawai Mansingh Stadium, Jaipur",India,field,New Zealand,India
Kenya,,2021-11-17,Integrated Polytechnic Regional Centre,Kenya,bat,Kenya,Uganda
Tanzania,,2021-11-17,Gahanga International Cricket Stadium. Rwanda,Nigeria,bat,Nigeria,Tanzania
Tanzania,,2021-11-17,Integrated Polytechnic Regional Centre,Tanzania,bat,Tanzania,Kenya
Uganda,,2021-11-17,Gahanga International Cricket Stadium. Rwanda,Uganda,bat,Uganda,Nigeria
Uganda,,2021-11-18,Gahanga International Cricket Stadium. Rwanda,Tanzania,bat,Tanzania,Uganda
Kenya,,2021-11-18,Integrated Polytechnic Regional Centre,Nigeria,bat,Nigeria,Kenya
Uganda,,2021-11-18,Integrated Polytechnic Regional Centre,Uganda,field,Nigeria,Uganda
Kenya,,2021-11-18,Gahanga International Cricket Stadium. Rwanda,Tanzania,bat,Tanzania,Kenya
India,,2021-11-19,"JSCA International Stadium Complex, Ranchi",India,field,New Zealand,India
Pakistan,,2021-11-19,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Pakistan
Uganda,,2021-11-20,Gahanga International Cricket Stadium. Rwanda,Kenya,bat,Kenya,Uganda
Tanzania,,2021-11-20,Integrated Polytechnic Regional Centre,Tanzania,bat,Tanzania,Nigeria
Pakistan,,2021-11-20,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Pakistan
Kenya,,2021-11-20,Integrated Polytechnic Regional Centre,Nigeria,field,Kenya,Nigeria
Uganda,,2021-11-20,Gahanga International Cricket Stadium. Rwanda,Uganda,field,Tanzania,Uganda
India,,2021-11-21,"Eden Gardens, Kolkata",India,bat,India,New Zealand
Pakistan,,2021-11-22,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,Pakistan
Pakistan,,2021-12-13,"National Stadium, Karachi",West Indies,field,Pakistan,West Indies
Pakistan,,2021-12-14,"National Stadium, Karachi",Pakistan,bat,Pakistan,West Indies
Pakistan,,2021-12-16,"National Stadium, Karachi",West Indies,bat,West Indies,Pakistan
United States of America,,2021-12-22,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,bat,United States of America,Ireland
Ireland,,2021-12-23,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,field,Ireland,United States of America
West Indies,,2022-01-22,"Kensington Oval, Bridgetown, Barbados",West Indies,field,England,West Indies
England,,2022-01-23,"Kensington Oval, Bridgetown, Barbados",West Indies,field,England,West Indies
West Indies,,2022-01-26,"Kensington Oval, Bridgetown, Barbados",England,field,West Indies,England
England,,2022-01-29,"Kensington Oval, Bridgetown, Barbados",West Indies,field,England,West Indies
West Indies,,2022-01-30,"Kensington Oval, Bridgetown, Barbados",West Indies,bat,West Indies,England
Nepal,,2022-02-11,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Oman,Nepal
Australia,,2022-02-11,Sydney Cricket Ground,Sri Lanka,field,Australia,Sri Lanka
United Arab Emirates,,2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,United Arab Emirates,Nepal
Ireland,,2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Oman,Ireland
United Arab Emirates,,2022-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,United Arab Emirates,Ireland
Oman,,2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,United Arab Emirates,Oman
Ireland,,2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Ireland,Nepal
Australia,,2022-02-15,"Manuka Oval, Canberra",Australia,field,Sri Lanka,Australia
India,,2022-02-16,"Eden Gardens, Kolkata",India,field,West Indies,India
Canada,,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,field,Canada,Philippines
Australia,,2022-02-18,Melbourne Cricket Ground,Australia,field,Sri Lanka,Australia
India,,2022-02-18,"Eden Gardens, Kolkata",West Indies,field,India,West Indies
Bahrain,,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,Germany,Bahrain
Nepal,,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Nepal,Oman
United Arab Emirates,,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,bat,United Arab Emirates,Ireland
Nepal,,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,field,Nepal,Philippines
Ireland,,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Ireland,bat,Ireland,Bahrain
Oman,,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Canada,Oman
United Arab Emirates,,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,bat,United Arab Emirates,Germany
India,,2022-02-20,"Eden Gardens, Kolkata",West Indies,field,India,West Indies
Sri Lanka,,2022-02-20,Melbourne Cricket Ground,Australia,bat,Australia,Sri Lanka
Bahrain,,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,bat,Bahrain,United Arab Emirates
Nepal,,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,bat,Canada,Nepal
Ireland,,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Germany,Ireland
Oman,,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,bat,Philippines,Oman
United Arab Emirates,,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,bat,United Arab Emirates,Nepal
Ireland,,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,field,Ireland,Oman
Canada,,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,field,Germany,Canada
Bahrain,,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,bat,Bahrain,Philippines
Germany,,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,field,Philippines,Germany
India,,2022-02-24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sri Lanka,field,India,Sri Lanka
United Arab Emirates,,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,Ireland,United Arab Emirates
Nepal,,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,bat,Oman,Nepal
Canada,,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,bat,Bahrain,Canada
India,,2022-02-26,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,field,Sri Lanka,India
India,,2022-02-27,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Sri Lanka,bat,Sri Lanka,India
Nepal,,2022-03-28,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,field,Nepal,Papua New Guinea
Malaysia,,2022-03-29,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Malaysia,Papua New Guinea
Nepal,,2022-03-30,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Malaysia,Nepal
Nepal,,2022-03-31,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,field,Nepal,Papua New Guinea
